代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	
="600796"	钱江生化	0.00	5.34	0.00	5.33	5.34	178211	66	0.00	          5.91	5.30	5.65	5.16	5.34	--  	94616808	  3.03	农药化肥	浙江	9.18	5.31	88975	89236	  1.00	768	72	--  	--  	
="601218"	吉鑫科技	2.87	2.87	0.08	2.86	2.87	667189	10	-0.34	          6.73	2.87	3.03	2.81	2.79	--  	193822160	  3.31	机械基件	江苏	7.89	2.91	295726	371462	  0.80	2511	1977	--  	--  	
="002452"	长高集团	1.56	3.90	0.06	3.90	3.91	200173	20	-0.51	          4.99	3.70	4.15	3.70	3.84	--  	78565976	  2.85	电气设备	湖南	11.72	3.92	97936	102236	  0.96	384	132	--  	--  	
="300733"	西菱动力	0.88	16.14	0.14	16.13	16.14	63108	2	0.12	         15.78	15.95	16.57	15.81	16.00	    33.22	101860112	  2.31	汽车配件	四川	4.75	16.14	30897	32211	  0.96	84	28	--  	--  	
="603315"	福鞍股份	-1.65	11.90	-0.20	11.89	11.90	66239	37	0.25	          3.01	11.80	11.96	11.56	12.10	   229.78	77536456	  2.31	机械基件	辽宁	3.31	11.71	35025	31214	  1.12	31	59	--  	--  	
="603331"	百达精工	0.07	15.03	0.01	15.01	15.03	18402	39	0.33	          5.78	14.89	15.23	14.84	15.02	    25.17	27509168	  1.16	专用机械	浙江	2.60	14.95	10309	8093	  1.27	99	70	--  	--  	
="002725"	跃岭股份	1.84	8.32	0.15	8.31	8.32	146550	51	-0.12	         13.35	8.18	8.38	8.01	8.17	    59.84	120467584	  2.03	汽车配件	浙江	4.53	8.22	71317	75232	  0.95	328	144	--  	--  	
="300680"	隆盛科技	0.10	19.92	0.02	19.91	19.92	43940	1	0.10	         12.80	19.60	20.18	19.55	19.90	   152.68	87388088	  1.70	汽车配件	江苏	3.17	19.89	22440	21500	  1.04	60	11	--  	--  	
="600784"	鲁银投资	1.07	4.71	0.05	4.70	4.71	75903	20	0.21	          1.34	4.62	4.75	4.59	4.66	    30.86	35395920	  1.48	普钢	山东	3.43	4.66	41499	34403	  1.21	1552	551	--  	--  	
="600156"	华升股份	0.43	4.69	0.02	4.67	4.69	327658	116	4.22	          8.15	4.55	4.75	4.41	4.67	--  	148214864	  2.04	纺织	湖南	7.28	4.52	190010	137647	  1.38	36	574	--  	--  	
="300102"	乾照光电	1.95	5.75	0.11	5.75	5.76	90295	1	-0.17	          1.28	5.59	5.76	5.57	5.64	    20.36	51211424	  1.84	半导体	福建	3.37	5.67	36766	53528	  0.69	56	584	--  	--  	
="603025"	大豪科技	1.73	12.38	0.21	12.37	12.38	28809	55	0.16	          0.32	12.26	12.41	12.04	12.17	    26.28	35274104	  1.64	IT设备	北京	3.04	12.24	12780	16029	  0.80	86	28	--  	--  	
="000895"	双汇发展	4.15	22.60	0.90	22.57	22.60	310018	93	0.00	          0.94	22.02	22.76	21.50	21.70	    15.31	688805632	  2.18	食品	河南	5.81	22.22	151378	158639	  0.95	60	48	--  	--  	
="000670"	盈方微	1.21	3.35	0.04	3.34	3.35	296953	1	0.29	          4.95	3.29	3.40	3.27	3.31	--  	99088560	  1.28	元器件	湖北	3.93	3.34	140821	156132	  0.90	3158	549	--  	--  	
="002842"	翔鹭钨业	3.52	17.36	0.59	17.35	17.36	39317	10	-0.40	          5.47	16.67	18.11	16.67	16.77	    24.78	67141960	  2.08	小金属	广东	8.59	17.08	18560	20757	  0.89	53	247	--  	--  	
="002615"	哈尔斯	5.89	5.21	0.29	5.21	5.22	92492	108	-0.38	          4.03	4.92	5.30	4.91	4.92	    19.57	47556820	  2.24	家居用品	浙江	7.93	5.14	37237	55254	  0.67	604	416	--  	--  	
="600152"	维科技术	5.42	6.03	0.31	6.03	6.06	101049	78	2.55	          3.43	5.72	6.06	5.60	5.72	    20.66	58419756	  1.72	电气设备	浙江	8.04	5.78	44059	56989	  0.77	13	153	--  	--  	
数据来源:通达信
